,Hs,Tp,Dp
2022-01-01 00:00:00,3.99,10.0,105.0
2022-01-01 03:00:00,3.77,10.0,80.0
2022-01-01 06:00:00,3.71,10.0,87.0
2022-01-01 09:00:00,3.66,10.0,78.0
2022-01-01 12:00:00,3.33,10.81,88.0
2022-01-01 15:00:00,3.24,10.0,84.0
2022-01-01 18:00:00,3.14,10.0,83.0
2022-01-01 21:00:00,3.03,10.0,92.0
2022-01-02 00:00:00,3.29,10.0,95.0
2022-01-02 03:00:00,3.45,10.0,87.0
2022-01-02 06:00:00,3.15,12.9,305.0
2022-01-02 09:00:00,3.17,12.9,292.0
2022-01-02 12:00:00,3.08,10.0,86.0
2022-01-02 15:00:00,2.92,13.79,312.0
2022-01-02 18:00:00,2.64,12.9,308.0
2022-01-02 21:00:00,2.71,12.9,306.0
2022-01-03 00:00:00,2.67,12.12,303.0
2022-01-03 03:00:00,2.57,11.43,303.0
2022-01-03 06:00:00,2.4,12.12,316.0
2022-01-03 09:00:00,2.31,9.09,86.0
2022-01-03 12:00:00,2.07,8.33,105.0
2022-01-03 15:00:00,2.0,8.33,104.0
2022-01-03 18:00:00,1.88,8.33,80.0
2022-01-03 21:00:00,1.78,8.33,95.0
2022-01-04 00:00:00,2.04,8.33,86.0
2022-01-04 03:00:00,2.3,8.33,76.0
2022-01-04 06:00:00,1.93,8.33,71.0
2022-01-04 09:00:00,1.95,8.33,71.0
2022-01-04 12:00:00,1.76,9.09,96.0
2022-01-04 15:00:00,1.61,9.09,93.0
2022-01-04 18:00:00,1.74,9.09,103.0
2022-01-04 21:00:00,1.93,8.33,99.0
2022-01-05 00:00:00,2.33,19.05,346.0
2022-01-05 03:00:00,2.37,17.39,3.0
2022-01-05 06:00:00,2.64,16.0,342.0
2022-01-05 09:00:00,2.81,16.0,350.0
2022-01-05 12:00:00,3.03,16.0,351.0
2022-01-05 15:00:00,3.35,16.0,323.0
2022-01-05 18:00:00,3.88,16.0,322.0
2022-01-05 21:00:00,3.9,16.0,332.0
